URL,Response Code,News Error,Detected,Category,Platform,Last crawled
http://trip.ee/script%3E,404,,2/10/14,Not found,Desktop,6/11/16
http://trip.ee/taxonomy/term/3000,404,,5/30/11,Not found,Desktop,6/12/16
http://trip.ee/node/category/reisistiilid/lihtsalt-puhkusereis,404,,5/16/13,Not found,Desktop,6/12/16
http://trip.ee/node/category/reisistiilid/toidu-joogireis,404,,5/16/13,Not found,Desktop,6/12/16
http://trip.ee/node/sihtkoht/aafrika,404,,5/16/13,Not found,Desktop,6/11/16
http://trip.ee/node/category/reisistiilid/auto-motoreis,404,,5/16/13,Not found,Desktop,6/10/16
http://trip.ee/node/category/reisistiilid/lastega-reis,404,,5/16/13,Not found,Desktop,6/10/16
http://trip.ee/node/category/reisistiilid/kultuurireis,404,,5/16/13,Not found,Desktop,6/10/16
http://trip.ee/taxonomy/term/3001,404,,5/30/11,Not found,Desktop,6/6/16
http://trip.ee/node/taxonomy/term/431,404,,6/3/16,Not found,Desktop,6/3/16
http://trip.ee/node/category/rubriigid/lendamine-ja-lennufirmad,404,,5/16/13,Not found,Desktop,6/9/16
http://trip.ee/node/category/reisistiilid/h-lega-reis,404,,5/16/13,Not found,Desktop,6/9/16
http://trip.ee/node/category/rubriigid/reisikorraldajad-ja-b-rood,404,,6/20/13,Not found,Desktop,6/9/16
http://trip.ee/category/pildi-t-p/reisipildikonkurss,404,,5/30/11,Not found,Desktop,6/10/16
http://trip.ee/user/%5Buid%5D/blog,404,,2/10/14,Not found,Desktop,6/12/16
http://trip.ee/node/category/reisistiilid/laevareis,404,,5/16/13,Not found,Desktop,4/21/16
http://trip.ee/node/category/rubriigid/reisiideed,404,,5/16/13,Not found,Desktop,4/21/16
http://trip.ee/node/category/reisistiilid/sukeldumisreis,404,,5/16/13,Not found,Desktop,4/21/16
http://trip.ee/node/category/reisistiilid/seljakotireis,404,,5/16/13,Not found,Desktop,4/21/16
http://trip.ee/node/category/rubriigid/hinnad-kohapeal,404,,6/10/16,Not found,Desktop,6/10/16
http://trip.ee/taxonomy/term/reisipakkumised,404,,5/16/13,Not found,Desktop,6/10/16
http://trip.ee/node/taxonomy/term/4609,404,,5/27/16,Not found,Desktop,5/27/16
http://trip.ee/node/category/reisistiilid/suusareis,404,,5/16/13,Not found,Desktop,4/21/16
http://trip.ee/node/category/reisistiilid/pulmareis,404,,5/16/13,Not found,Desktop,4/21/16
http://trip.ee/content/category/reisistiilid/luksusreis,404,,5/16/13,Not found,Desktop,6/12/16
http://trip.ee/content/taxonomy/term/491,404,,5/16/13,Not found,Desktop,6/12/16
http://trip.ee/content/sihtkoht/euroopa,404,,5/16/13,Not found,Desktop,6/12/16
http://trip.ee/content/category/reisistiilid/suusareis,404,,5/16/13,Not found,Desktop,6/12/16
http://trip.ee/content/category/reisistiilid/rongireis,404,,5/16/13,Not found,Desktop,6/12/16
http://trip.ee/content/sihtkoht/aafrika,404,,5/16/13,Not found,Desktop,6/12/16
http://trip.ee/content/taxonomy/term/768,404,,5/16/13,Not found,Desktop,6/12/16
http://trip.ee/content/taxonomy/term/3,404,,5/16/13,Not found,Desktop,6/12/16
http://trip.ee/content/taxonomy/term/521,404,,5/16/13,Not found,Desktop,6/12/16
http://trip.ee/content/category/reisistiilid/h-lega-reis,404,,5/16/13,Not found,Desktop,6/12/16
http://trip.ee/content/taxonomy/term/5,404,,5/16/13,Not found,Desktop,6/12/16
http://trip.ee/content/taxonomy/term/488,404,,5/16/13,Not found,Desktop,6/12/16
http://trip.ee/content/category/reisistiilid/lastega-reis,404,,5/16/13,Not found,Desktop,6/12/16
http://trip.ee/content/taxonomy/term/595,404,,5/16/13,Not found,Desktop,6/12/16
http://trip.ee/content/taxonomy/term/7,404,,5/16/13,Not found,Desktop,6/12/16
http://trip.ee/content/category/reisistiilid/ostureis,404,,5/16/13,Not found,Desktop,6/12/16
http://trip.ee/content/category/reisistiilid/auto-motoreis,404,,5/17/13,Not found,Desktop,6/12/16
http://trip.ee/content/category/reisistiilid/bussireis,404,,5/16/13,Not found,Desktop,6/12/16
http://trip.ee/content/category/reisistiilid/mbermaailmareis,404,,5/17/13,Not found,Desktop,6/12/16
http://trip.ee/content/category/reisistiilid/toidu-joogireis,404,,5/17/13,Not found,Desktop,6/12/16
http://trip.ee/content/category/reisistiilid/lihtsalt-puhkusereis,404,,5/17/13,Not found,Desktop,6/12/16
http://trip.ee/content/taxonomy/term/819,404,,5/16/13,Not found,Desktop,6/12/16
http://trip.ee/content/category/reisistiilid/sukeldumisreis,404,,5/17/13,Not found,Desktop,6/12/16
